⺁	〔※󰃼※󰄋※󰄋※※☯rtt※〕
㑄	〔※󰄥※󰄭※󰁶※※☯wxy※〕
㑅	〔※󰄥※󰁿※󰂽※󰀝☯wthg※〕
㑆	〔※󰄥※󰃏※󰃺※󰁀☯wkqn※〕
㑇	〔※󰄥※󰃸※󰄢※󰀝☯wqvg※〕
㑈	〔※󰄥※󰀂※󰃅※󰁶☯waiy※〕
㑉	〔※󰄥※󰁰※󰂶※󰃹☯wwgq※〕
㑊	〔※󰄥※󰄶※󰁖※󰁶☯wyoy※〕
㑋	〔※󰄥※󰀿※󰁺※󰀝☯wmag※〕
㑌	〔※󰄥※󰂋※󰂷※󰀝☯wagg※〕
㑍	〔※󰄥※󰂭※󰄅※󰁶☯wfsy※〕
㑎	〔※󰄥※󰄞※󰃘※󰀢☯wvmh※〕
㑏	〔※󰄥※󰃰※󰂳※󰁶☯wpfy※〕
㑐	〔※󰄥※󰂽※󰃅※󰁶☯whiy※〕
㑑	〔※󰄥※󰄋※󰂼※󰀝☯wthg※〕
㑒	〔※󰄤※󰂶※󰃏※󰄤☯wgkw※〕
㑓	〔※󰄥※󰂙※󰁼※󰂘☯wcdc※〕
㑔	〔※󰄥※󰂢※󰃚※󰁶☯wdmy※〕
㑕	〔※󰄥※󰃘※󰃹※󰁶☯wmqy※〕
㑖	〔※󰄥※󰄥※󰃏※󰂺☯wwkh※〕
㑗	〔※󰄥※󰄋※󰀽※󰄋☯wtmt※〕
㑘	〔※󰄥※󰂇※󰂉※󰀢☯waah※〕
㑙	〔※󰄥※󰂐※󰄻※󰁀☯wbnn※〕
㑚	〔※󰄥※󰂁※󰀠※󰂏☯wngb※〕
㑛	〔※󰄥※󰄅※󰃏※󰀝☯wskg※〕
㑜	〔※󰄥※󰃿※󰄀※󰀢☯wrrh※〕
㑝	〔※󰄥※󰂷※󰂉※󰀢☯wgah※〕
㑞	〔※󰄥※󰃩※󰂉※󰀢☯woah※〕
㑟	〔※󰄥※󰄁※󰄦※󰁶☯wrwy※〕
㑠	〔※󰄥※󰀭※󰂘※󰂮☯wjcf※〕
㑡	〔※󰄥※󰁮※󰂕※󰀢☯wvbh※〕
㑢	〔※󰄥※󰂮※󰂙※󰂕☯wfcb※〕
㑣	〔※󰄥※󰄅※󰄅※󰁶☯wssy※〕
㑤	〔※󰄥※󰄖※󰃐※󰀝☯walg※〕
㑥	〔※󰄥※󰃊※󰃷※󰁤☯wjqr※〕
㑦	〔※󰄥※󰄼※󰃡※󰂣☯wynd※〕
㑧	〔※󰄥※󰄌※󰂍※󰀝☯wtbg※〕
㑨	〔※󰄥※󰃏※󰁿※󰂝☯wktd※〕
㑩	〔※󰄥※󰃔※󰃹※󰁶☯wlqy※〕
㑪	〔※󰄥※󰄷※󰀳※󰀝☯wyjg※〕
㑫	〔※󰄥※󰄤※󰄼※󰃢☯wwyn※〕
㑬	〔※󰄥※󰄟※󰂟※󰀝☯wvdg※〕
㑭	〔※󰄥※󰃐※󰂶※󰀯☯wlgj※〕
㑮	〔※󰄥※󰃱※󰃗※󰀢☯wplh※〕
㑯	〔※󰄥※󰂢※󰃛※󰁶☯wdmy※〕
㑰	〔※󰄥※󰄰※󰀓※󰁶☯wxey※〕
㑱	〔※󰄥※󰁻※󰃦※󰄅☯wcns※〕
㑲	〔※󰄥※󰂱※󰃜※󰂱☯wfmf※〕
㑳	〔※󰄥※󰃷※󰂔※󰄋☯wqbt※〕
㑴	〔※󰄥※󰄢※󰃱※󰂘☯wvpc※〕
㑵	〔※󰄥※󰄛※󰁿※󰂝☯wutd※〕
㑶	〔※󰄥※󰄂※󰃪※󰁶☯wroy※〕
㑷	〔※󰄥※󰂙※󰂧※󰄮☯wcex※〕
㑸	〔※󰄥※󰂟※󰄆※󰃏☯wdsk※〕
㑹	〔※󰄤※󰂶※󰃙※󰃊☯wgmj※〕
㑺	〔※󰄥※󰄥※󰁷※󰂖☯wwyb※〕
㑻	〔※󰄥※󰃰※󰃢※󰃘☯wpnm※〕
㑼	〔※󰄥※󰃐※󰄐※󰃏☯wltk※〕
㑽	〔※󰄥※󰃆※󰃱※󰂮☯wipf※〕
㑾	〔※󰄥※󰁝※󰄳※󰀝☯wqyg※〕
㑿	〔※󰄥※󰄞※󰃊※󰄅☯wvjs※〕
㒀	〔※󰄥※󰄶※󰄒※󰂟☯wyud※〕
㒁	〔※󰄥※󰃒※󰂮※󰂱☯wlff※〕
㒂	〔※󰄥※󰄖※󰂮※󰃊☯wafj※〕
㒃	〔※󰄥※󰀁※󰂭※󰄼☯wafy※〕
㒄	〔※󰄥※󰁝※󰂣※󰃨☯wqdo※〕
㒅	〔※󰄥※󰄶※󰃹※󰀔☯wyqe※〕
㒆	〔※󰄥※󰄤※󰂶※󰃥☯wwgn※〕
㒇	〔※󰄥※󰁿※󰂶※󰃨☯wtgo※〕
㒈	〔※󰄥※󰃦※󰂐※󰄏☯wnbt※〕
㒉	〔※󰄥※󰃆※󰃱※󰄅☯wips※〕
㒊	〔※󰄥※󰄠※󰄼※󰂾☯wvyh※〕
㒋	〔※󰄥※󰀎※󰄦※󰄀☯wdwr※〕
㒌	〔※󰄥※󰃩※󰃩※󰄨☯woow※〕
㒍	〔※󰄥※󰂙※󰂙※󰃅☯wcci※〕
㒎	〔※󰄥※󰄋※󰂝※󰂜☯wtdd※〕
㒏	〔※󰄥※󰃰※󰀀※󰁦☯wpau※〕
㒐	〔※󰄥※󰄍※󰃷※󰃊☯wtqj※〕
㒑	〔※󰄥※󰂋※󰃁※󰁷☯waiy※〕
㒒	〔※󰄥※󰃬※󰄕※󰂵☯wouf※〕
㒓	〔※󰄥※󰂮※󰄕※󰃮☯wfup※〕
㒔	〔※󰄥※󰃔※󰃷※󰃍☯wlqj※〕
㒕	〔※󰄥※󰄶※󰁲※󰁷☯wyxy※〕
㒖	〔※󰄥※󰄖※󰃊※󰄼☯wajy※〕
㒗	〔※󰄥※󰄖※󰂭※󰂮☯waff※〕
㒘	〔※󰄥※󰂋※󰂺※󰄓☯wahu※〕
㒙	〔※󰄥※󰄫※󰃽※󰂺☯wxrh※〕
㒚	〔※󰄥※󰂦※󰂆※󰃢☯wean※〕
㒛	〔※󰄥※󰃥※󰄥※󰁷☯wnwy※〕
㒜	〔※󰄥※󰀗※󰂶※󰄦☯wegw※〕
㒝	〔※󰄥※󰄖※󰃔※󰄤☯walw※〕
㒞	〔※󰄥※󰃘※󰄥※󰂁☯wmwn※〕
㒟	〔※󰄥※󰄶※󰀋※󰀔☯wyce※〕
㒠	〔※󰄥※󰀥※󰃹※󰂶☯whqg※〕
㒡	〔※󰄥※󰂦※󰁿※󰃅☯weti※〕
㒢	〔※󰄥※󰄤※󰂶※󰄖☯wwga※〕
㒣	〔※󰄥※󰃫※󰄥※󰃢☯wown※〕
㒤	〔※󰄥※󰂐※󰂐※󰂐☯wbbb※〕
㒥	〔※󰄥※󰃘※󰂜※󰄕☯wmdu※〕
㒦	〔※󰄥※󰃐※󰃐※󰂮☯wllf※〕
㒧	〔※󰄥※󰄶※󰄄※󰁷☯wyry※〕
㒨	〔※󰄥※󰀗※󰄋※󰃠☯wetn※〕
㒩	〔※󰄥※󰄰※󰀓※󰃍☯wxej※〕
㒪	〔※󰄤※󰂋※󰂺※󰀓☯wahe※〕
㒫	〔※󰂶※󰂺※󰂭※󰃺☯ghfq※〕
㒬	〔※󰂭※󰃺※󰂷※󰀌☯fqgd※〕
㒭	〔※󰃏※󰃺※󰃏※󰃺☯kqkq※〕
㒮	〔※󰂭※󰃺※󰂶※󰀓☯fqge※〕
㒯	〔※󰃆※󰂶※󰃺※󰀟☯igqg※〕
㒰	〔※󰄋※󰂃※󰂆※󰀘☯tyaf※〕
㒱	〔※󰄋※󰂃※󰃹※󰁧☯tyqu※〕
㒲	〔※󰄋※󰂃※󰃊※󰀘☯tyjf※〕
㒳	〔※󰃜※󰂺※󰄋※󰄼☯mhty※〕
㒴	〔※󰄋※󰂃※󰂔※󰃘☯tybm※〕
㒵	〔※󰃽※󰄦※󰁧※※☯rwu※〕
㒶	〔※󰄦※󰃽※󰀘※※☯wrf※〕
㒷	〔※󰀿※󰄤※󰂶※󰄦☯mwgw※〕
㒸	〔※󰄕※󰀓※󰁧※※☯ueu※〕
㒹	〔※󰂱※󰀣※󰄦※󰄦☯fhww※〕
㒺	〔※󰃜※󰄕※󰄤※󰄃☯muwn※〕
㒻	〔※󰀰※󰂼※󰃺※󰀅☯jhqb※〕
㒼	〔※󰂊※󰃜※󰂺※󰄼☯amhy※〕
㒽	〔※󰀰※󰄒※󰂹※󰂑☯jugb※〕
㒾	〔※󰀰※󰄸※󰁿※󰂓☯jytb※〕
㒿	〔※󰀰※󰄶※󰄄※󰁷☯jyry※〕
㓀	〔※󰃱※󰂿※󰁧※※☯phu※〕
㓁	〔※󰃱※󰄦※󰁧※※☯pwu※〕
㓂	〔※󰃱※󰂭※󰃺※󰄟☯pfqv※〕
㓃	〔※󰃱※󰄳※󰄋※󰂌☯pyta※〕
㓄	〔※󰂙※󰂙※󰂙※󰁜☯cccq※〕
㓅	〔※󰄑※󰄆※󰀢※※☯ush※〕
㓆	〔※󰄑※󰄤※󰄮※󰁀☯uwxn※〕
㓇	〔※󰄑※󰄋※󰂝※󰁶☯utdy※〕
㓈	〔※󰄑※󰂠※󰀝※※☯udg※〕
㓉	〔※󰄑※󰄋※󰂟※󰀝☯utdg※〕
㓊	〔※󰄑※󰃜※󰂶※󰃏☯umgk※〕
㓋	〔※󰄑※󰁺※󰄦※󰁶☯uawy※〕
㓌	〔※󰄑※󰄤※󰂷※󰀝☯uwgg※〕
㓍	〔※󰄑※󰄶※󰂙※󰃺☯uycq※〕
㓎	〔※󰄑※󰄢※󰃱※󰂘☯uvpc※〕
㓏	〔※󰄑※󰃜※󰄦※󰃏☯umwk※〕
㓐	〔※󰄑※󰂮※󰄦※󰂮☯ufwf※〕
㓑	〔※󰄑※󰂮※󰄕※󰂱☯ufuf※〕
㓒	〔※󰄑※󰂌※󰄤※󰃤☯uawn※〕
㓓	〔※󰄑※󰂱※󰃜※󰂱☯ufmf※〕
㓔	〔※󰄑※󰄋※󰀽※󰂳☯utmf※〕
㓕	〔※󰄑※󰂤※󰂶※󰃩☯udgo※〕
㓖	〔※󰄑※󰃊※󰄖※󰀟☯ujag※〕
㓗	〔※󰄑※󰂜※󰂺※󰃅☯udhi※〕
㓘	〔※󰁰※󰂶※󰃹※󰄼☯wgqy※〕
㓙	〔※󰄷※󰂔※󰀵※※☯ybk※〕
㓚	〔※󰂆※󰃉※󰀢※※☯ajh※〕
㓛	〔※󰂆※󰄠※󰁥※※☯avt※〕
㓜	〔※󰄩※󰄠※󰁥※※☯xvt※〕
㓝	〔※󰂭※󰀯※󰃉※󰀢☯fjjh※〕
㓞	〔※󰂜※󰂺※󰄠※󰁥☯dhvt※〕
㓟	〔※󰂗※󰃉※󰀢※※☯bjh※〕
㓠	〔※󰀥※󰃏※󰃉※󰀢☯hkjh※〕
㓡	〔※󰁿※󰂱※󰂔※󰃉☯tfbj※〕
㓢	〔※󰄐※󰃏※󰃉※󰀢☯tkjh※〕
㓣	〔※󰄤※󰂶※󰃏※󰃉☯wgkj※〕
㓤	〔※󰂯※󰃏※󰃉※󰀢☯fkjh※〕
㓥	〔※󰃆※󰄢※󰃉※󰀢☯ivjh※〕
㓦	〔※󰂢※󰃊※󰃉※󰀢☯djjh※〕
㓧	〔※󰄤※󰄼※󰃦※󰃉☯wynj※〕
㓨	〔※󰂝※󰄤※󰄤※󰃉☯dwwj※〕
㓩	〔※󰃸※󰂨※󰃉※󰀢☯qejh※〕
㓪	〔※󰄼※󰁮※󰄠※󰁥☯yvvt※〕
㓫	〔※󰂝※󰂶※󰂉※󰃉☯dgaj※〕
㓬	〔※󰄒※󰂹※󰄠※󰃉☯ugvj※〕
㓭	〔※󰃊※󰃷※󰄤※󰃉☯jqwj※〕
㓮	〔※󰀼※󰂮※󰃏※󰃉☯mfkj※〕
㓯	〔※󰄞※󰃐※󰃉※󰀢☯vljh※〕
㓰	〔※󰂶※󰃙※󰂔※󰃉☯gmbj※〕
㓱	〔※󰄤※󰂶※󰂧※󰃉☯wgej※〕
㓲	〔※󰄼※󰃡※󰃜※󰃉☯ynmj※〕
㓳	〔※󰃊※󰂶※󰁾※󰃉☯jghj※〕
㓴	〔※󰂢※󰃜※󰀭※󰃉☯dmjj※〕
㓵	〔※󰃏※󰃏※󰂭※󰃉☯kkfj※〕
㓶	〔※󰂜※󰂺※󰄠※󰃉☯dhvj※〕
㓷	〔※󰄋※󰂼※󰄅※󰃉☯thsj※〕
㓸	〔※󰂋※󰁃※󰀚※󰃉☯anfj※〕
㓹	〔※󰂡※󰃩※󰃩※󰃉☯dooj※〕
㓺	〔※󰃀※󰄷※󰃉※󰀢☯hyjh※〕
㓻	〔※󰃔※󰂶※󰂾※󰃉☯lghj※〕
㓼	〔※󰄅※󰄤※󰃃※󰃉☯swij※〕
㓽	〔※󰃘※󰃰※󰂭※󰃉☯mpfj※〕
㓾	〔※󰃡※󰃃※󰄋※󰃉☯nitj※〕
㓿	〔※󰄌※󰄤※󰃃※󰃉☯twij※〕
㔀	〔※󰃊※󰁸※󰃅※󰃉☯jyij※〕
㔁	〔※󰄧※󰂶※󰃏※󰃉☯wgkj※〕
㔂	〔※󰃪※󰃹※󰂅※󰃉☯oqgj※〕
㔃	〔※󰄫※󰃸※󰂚※󰄠☯xqcv※〕
㔄	〔※󰄈※󰃪※󰃉※󰀢☯sojh※〕
㔅	〔※󰁬※󰂱※󰀲※󰃉☯vfjj※〕
㔆	〔※󰀄※󰁜※󰀄※󰃉☯aqaj※〕
㔇	〔※󰄧※󰄬※󰄨※󰃉☯wxwj※〕
㔈	〔※󰄖※󰂺※󰂜※󰃉☯ahdj※〕
㔉	〔※󰃡※󰄋※󰃏※󰃉☯ntkj※〕
㔊	〔※󰄶※󰃒※󰃏※󰃉☯ylkj※〕
㔋	〔※󰂋※󰂺※󰁃※󰃉☯ahnj※〕
㔌	〔※󰂐※󰂘※󰃈※󰃉☯bcij※〕
㔍	〔※󰄍※󰂼※󰂉※󰃉☯thaj※〕
㔎	〔※󰂔※󰄤※󰃧※󰄠☯bwnv※〕
㔏	〔※󰂠※󰂠※󰂠※󰃉☯dddj※〕
㔐	〔※󰄍※󰂶※󰂺※󰃉☯tghj※〕
㔑	〔※󰄖※󰄋※󰃧※󰄠☯atnv※〕
㔒	〔※󰃘※󰄥※󰁷※󰃉☯mwyj※〕
㔓	〔※󰄋※󰂱※󰂫※󰁥☯tfet※〕
㔔	〔※󰂫※󰃏※󰃏※󰀘☯ekkf※〕
㔕	〔※󰄂※󰂫※󰁥※※☯ret※〕
㔖	〔※󰂫※󰃏※󰃦※󰀅☯eknb※〕
㔗	〔※󰄬※󰀯※󰂫※󰁥☯xjet※〕
㔘	〔※󰂔※󰃘※󰂫※󰁥☯bmet※〕
㔙	〔※󰄕※󰂉※󰂫※󰁥☯uaet※〕
㔚	〔※󰄋※󰂟※󰂫※󰁥☯tdet※〕
㔛	〔※󰂯※󰃏※󰂫※󰁣☯fker※〕
㔜	〔※󰂦※󰂎※󰂫※󰁥☯ebet※〕
㔝	〔※󰂶※󰃜※󰂺※󰂫☯gmhe※〕
㔞	〔※󰄋※󰂱※󰁩※󰂫☯tfue※〕
㔟	〔※󰄋※󰁽※󰄡※󰂫☯tgve※〕
㔠	〔※󰃊※󰃷※󰄤※󰂫☯jqwe※〕
㔡	〔※󰄋※󰃒※󰄄※󰂫☯tlre※〕
㔢	〔※󰄫※󰃸※󰂚※󰂫☯xqce※〕
㔣	〔※󰃐※󰃐※󰃐※󰂫☯llle※〕
㔤	〔※󰃰※󰄋※󰃪※󰂫☯ptoe※〕
㔥	〔※󰃔※󰂙※󰂧※󰂫☯lcee※〕
㔦	〔※󰄒※󰂷※󰁱※󰂫☯ugwe※〕
㔧	〔※󰃀※󰃐※󰃕※󰂫☯hlle※〕
㔨	〔※󰃷※󰁩※󰄮※󰂧☯quxe※〕
㔩	〔※󰃷※󰂮※󰂙※󰃕☯qfcl※〕
㔪	〔※󰃷※󰀥※󰃒※󰁘☯qhlo※〕
㔫	〔※󰁼※󰄮※󰁫※※☯dxv※〕
㔬	〔※󰄮※󰃌※󰀬※※☯xjj※〕
㔭	〔※󰁴※󰃊※󰂶※󰁾☯xjgh※〕
㔮	〔※󰂊※󰃏※󰂹※󰄮☯akgx※〕
㔯	〔※󰂋※󰄨※󰃏※󰀌☯awkd※〕
㔰	〔※󰂋※󰃹※󰂿※󰀦☯aqhi※〕
㔱	〔※󰂋※󰀗※󰄤※󰀦☯aewi※〕
㔲	〔※󰂋※󰁱※󰁫※󰄡☯awvv※〕
㔳	〔※󰂋※󰁱※󰁫※󰄨☯awvw※〕
㔴	〔※󰂋※󰃐※󰁺※󰄦☯alaw※〕
㔵	〔※󰂋※󰃠※󰃠※󰄦☯annw※〕
㔶	〔※󰂋※󰄓※󰃌※󰃛☯aujm※〕
㔷	〔※󰂋※󰂶※󰃜※󰄤☯agmw※〕
㔸	〔※󰂋※󰃼※󰃀※󰄨☯arhw※〕
㔹	〔※󰂱※󰂫※󰁥※※☯fet※〕
㔺	〔※󰂱※󰂌※󰂱※󰀬☯fafj※〕
㔻	〔※󰂢※󰂿※󰂱※󰀬☯dhfj※〕
㔼	〔※󰃿※󰄥※󰁷※󰂱☯rwyf※〕
㔽	〔※󰀥※󰃒※󰃏※󰀘☯hlkf※〕
㔾	〔※󰂑※󰂁※󰄻※※☯bnn※〕
㔿	〔※󰂶※󰁐※󰂺※󰀵☯gnhk※〕
㕀	〔※󰃙※󰂑※󰀅※※☯mbb※〕
㕁	〔※󰄄※󰁼※󰂙※󰂕☯rdcb※〕
㕂	〔※󰂡※󰄤※󰄼※󰃦☯dwyn※〕
㕃	〔※󰂡※󰂶※󰂉※󰀵☯dgak※〕
㕄	〔※󰂡※󰂶※󰄩※󰀦☯dgxi※〕
㕅	〔※󰂡※󰃑※󰀵※※☯dlk※〕
㕆	〔※󰂡※󰂟※󰀌※※☯ddd※〕
㕇	〔※󰂡※󰄓※󰀌※※☯dud※〕
㕈	〔※󰂡※󰄶※󰀔※󰀦☯dyei※〕
㕉	〔※󰂡※󰄤※󰂶※󰃏☯dwgk※〕
㕊	〔※󰂡※󰄊※󰀦※※☯dsi※〕
㕋	〔※󰂡※󰃴※󰀌※※☯dqd※〕
㕌	〔※󰂡※󰃊※󰂶※󰂳☯djgf※〕
㕍	〔※󰂡※󰄥※󰁷※󰀌☯dwyd※〕
㕎	〔※󰂡※󰂮※󰂙※󰃕☯dfcl※〕
㕏	〔※󰂡※󰂶※󰃏※󰂱☯dgkf※〕
㕐	〔※󰂡※󰂪※󰃷※󰃨☯deqo※〕
㕑	〔※󰂡※󰂯※󰃏※󰂳☯dfkf※〕
㕒	〔※󰂡※󰄒※󰂷※󰄼☯dugy※〕
㕓	〔※󰂡※󰀹※󰂮※󰂮☯dlff※〕
㕔	〔※󰂡※󰂐※󰂷※󰃢☯dbgn※〕
㕕	〔※󰂙※󰂙※󰁧※※☯ccu※〕
㕖	〔※󰂙※󰂙※󰂙※󰄅☯cccs※〕
㕗	〔※󰄒※󰂷※󰁛※󰂙☯ugqc※〕
㕘	〔※󰂙※󰂙※󰂙※󰃅☯ccci※〕
㕙	〔※󰂙※󰄦※󰄐※󰄼☯cwty※〕
㕚	〔※󰂘※󰁦※󰀦※※☯cui※〕
㕛	〔※󰂘※󰂘※󰁧※※☯ccu※〕
㕜	〔※󰃏※󰂺※󰂘※󰁧☯khcu※〕
㕝	〔※󰂟※󰂘※󰁧※※☯dcu※〕
㕞	〔※󰃡※󰃜※󰂺※󰂘☯nmhc※〕
㕟	〔※󰀥※󰃜※󰄖※󰂘☯hmac※〕
㕠	〔※󰄑※󰄥※󰁷※󰂘☯uwyc※〕
㕡	〔※󰀥※󰃱※󰂶※󰂘☯hpgc※〕
㕢	〔※󰀥※󰃱※󰂶※󰂘☯hpgc※〕
㕣	〔※󰄦※󰃏※󰀘※※☯wkf※〕
㕤	〔※󰃏※󰄡※󰁀※※☯kvn※〕
㕥	〔※󰃏※󰄤※󰁶※※☯kwy※〕
㕦	〔※󰃏※󰂝※󰁧※※☯kdu※〕
㕧	〔※󰃏※󰃡※󰁥※※☯knt※〕
㕨	〔※󰃏※󰄨※󰄼※󰁶☯kwyy※〕
㕩	〔※󰃏※󰂜※󰂺※󰀢☯kdhh※〕
㕪	〔※󰃏※󰃱※󰁜※󰁀☯kpqn※〕
㕫	〔※󰃏※󰄸※󰁥※※☯kyt※〕
㕬	〔※󰃏※󰄦※󰂙※󰁶☯kwcy※〕
㕭	〔※󰃏※󰄋※󰂝※󰁶☯ktdy※〕
㕮	〔※󰃏※󰄦※󰄄※󰁶☯kwry※〕
㕯	〔※󰃜※󰄤※󰃏※󰀌☯mwkd※〕
㕰	〔※󰃏※󰂬※󰁀※※☯ken※〕
㕱	〔※󰃏※󰁼※󰄻※󰄼☯kdny※〕
㕲	〔※󰃏※󰄅※󰁶※※☯ksy※〕
㕳	〔※󰃏※󰄄※󰂔※󰀢☯krbh※〕
㕴	〔※󰃏※󰃱※󰄨※󰁀☯kpwn※〕
㕵	〔※󰃏※󰂷※󰀝※※☯kgg※〕
㕶	〔※󰃏※󰂸※󰀝※※☯kgg※〕
㕷	〔※󰃏※󰃽※󰀝※※☯krg※〕
㕸	〔※󰃏※󰄓※󰀝※※☯kug※〕
㕹	〔※󰃏※󰁼※󰂘※󰄼☯kdcy※〕
㕺	〔※󰃏※󰃏※󰂶※󰁔☯kkgn※〕
㕻	〔※󰄼※󰂢※󰂿※󰃏☯ydhk※〕
㕼	〔※󰃏※󰃷※󰄄※󰄃☯kqrn※〕
㕽	〔※󰃏※󰁐※󰄼※󰄤☯knyw※〕
㕾	〔※󰃅※󰃏※󰄮※󰀅☯ikxb※〕
㕿	〔※󰄌※󰃏※󰀘※※☯tkf※〕
㖀	〔※󰃏※󰁬※󰀟※󰀢☯kvgh※〕
㖁	〔※󰃏※󰄄※󰁼※󰂙☯krdc※〕
