⺁	〔※󰃼※󰄋※󰄋※☯rtt☯※〕
㐻	〔※󰄥※󰃜※󰄤※󰁶☯wmwy☯nèi※〕
㐼	〔※󰄥※󰄋※󰂉※󰀢☯wtah☯chèng※zhěng※〕
㐽	〔※󰄥※󰁰※󰄄※󰁶☯wwry☯※〕
㐾	〔※󰄥※󰂭※󰃺※󰁀☯wfqn☯ruǎn※yuàn※〕
㐿	〔※󰄥※󰃾※󰀢※☯wrh☯※〕
㑀	〔※󰄥※󰂝※󰄼※󰁶☯wdyy☯tài※〕
㑁	〔※󰄥※󰂔※󰃘※󰀢☯wbmh☯※〕
㑂	〔※󰄥※󰂶※󰃜※󰄤☯wgmw☯fǎng※páng※〕
㑃	〔※󰄥※󰄩※󰂫※󰁥☯wxet☯ǎo※〕
㑄	〔※󰄥※󰄭※󰁶※☯wxy☯wǔ※〕
㑅	〔※󰄥※󰁿※󰂽※󰀝☯wthg☯zuò※〕
㑆	〔※󰄥※󰃏※󰃺※󰁀☯wkqn☯※〕
㑇	〔※󰄥※󰃸※󰄢※󰀝☯wqvg☯zhòu※〕
㑈	〔※󰄥※󰀂※󰃅※󰁶☯waiy☯dòng※〕
㑉	〔※󰄥※󰁰※󰂶※󰃹☯wwgq☯sù※〕
㑊	〔※󰄥※󰄶※󰁖※󰁶☯wyoy☯yì※〕
㑋	〔※󰄥※󰀿※󰁺※󰀝☯wmag☯jiòng※kǒng※qióng※〕
㑌	〔※󰄥※󰂋※󰂷※󰀝☯wagg☯※〕
㑍	〔※󰄥※󰂭※󰄅※󰁶☯wfsy☯lěi※lèi※〕
㑎	〔※󰄥※󰄞※󰃘※󰀢☯wvmh☯nǎo※〕
㑏	〔※󰄥※󰃰※󰂳※󰁶☯wpfy☯zhù※〕
㑐	〔※󰄥※󰂽※󰃅※󰁶☯whiy☯※〕
㑑	〔※󰄥※󰄋※󰂼※󰀝☯wthg☯lǎn※jì※〕
㑒	〔※󰄤※󰂶※󰃏※󰄤☯wgkw☯※〕
㑓	〔※󰄥※󰂙※󰁼※󰂘☯wcdc☯※〕
㑔	〔※󰄥※󰂢※󰃚※󰁶☯wdmy☯xǔ※〕
㑕	〔※󰄥※󰃘※󰃹※󰁶☯wmqy☯※〕
㑖	〔※󰄥※󰄥※󰃏※󰂺☯wwkh☯※〕
㑗	〔※󰄥※󰄋※󰀽※󰄋☯wtmt☯shēn※〕
㑘	〔※󰄥※󰂇※󰂉※󰀢☯waah☯jiè※〕
㑙	〔※󰄥※󰂐※󰄻※󰁀☯wbnn☯dié※yǒng※〕
㑚	〔※󰄥※󰂁※󰀠※󰂏☯wngb☯nuó※〕
㑛	〔※󰄥※󰄅※󰃏※󰀝☯wskg☯sù※〕
㑜	〔※󰄥※󰃿※󰄀※󰀢☯wrrh☯yì※chì※〕
㑝	〔※󰄥※󰂷※󰂉※󰀢☯wgah☯lòng※〕
㑞	〔※󰄥※󰃩※󰂉※󰀢☯woah☯yìng※〕
㑟	〔※󰄥※󰄁※󰄦※󰁶☯wrwy☯běng※bó※pěng※〕
㑠	〔※󰄥※󰀭※󰂘※󰂮☯wjcf☯※〕
㑡	〔※󰄥※󰁮※󰂕※󰀢☯wvbh☯※〕
㑢	〔※󰄥※󰂮※󰂙※󰂕☯wfcb☯※〕
㑣	〔※󰄥※󰄅※󰄅※󰁶☯wssy☯lán※〕
㑤	〔※󰄥※󰄖※󰃐※󰀝☯walg☯miáo※〕
㑥	〔※󰄥※󰃊※󰃷※󰁤☯wjqr☯yì※〕
㑦	〔※󰄥※󰄼※󰃡※󰂣☯wynd☯lì※〕
㑧	〔※󰄥※󰄌※󰂍※󰀝☯wtbg☯jì※〕
㑨	〔※󰄥※󰃏※󰁿※󰂝☯wktd☯yǔ※〕
㑩	〔※󰄥※󰃔※󰃹※󰁶☯wlqy☯luó※〕
㑪	〔※󰄥※󰄷※󰀳※󰀝☯wyjg☯chái※〕
㑫	〔※󰄥※󰄤※󰄼※󰃢☯wwyn☯※〕
㑬	〔※󰄥※󰄟※󰂟※󰀝☯wvdg☯※〕
㑭	〔※󰄥※󰃐※󰂶※󰀯☯wlgj☯※〕
㑮	〔※󰄥※󰃱※󰃗※󰀢☯wplh☯hún※wén※〕
㑯	〔※󰄥※󰂢※󰃛※󰁶☯wdmy☯xǔ※〕
㑰	〔※󰄥※󰄰※󰀓※󰁶☯wxey☯huì※〕
㑱	〔※󰄥※󰁻※󰃦※󰄅☯wcns☯rǎo※〕
㑲	〔※󰄥※󰂱※󰃜※󰂱☯wfmf☯※〕
㑳	〔※󰄥※󰃷※󰂔※󰄋☯wqbt☯zhòu※〕
㑴	〔※󰄥※󰄢※󰃱※󰂘☯wvpc☯※〕
㑵	〔※󰄥※󰄛※󰁿※󰂝☯wutd☯hàn※jí※jié※zhǎ※zí※〕
㑶	〔※󰄥※󰄂※󰃪※󰁶☯wroy☯xì※〕
㑷	〔※󰄥※󰂙※󰂧※󰄮☯wcex☯tài※〕
㑸	〔※󰄥※󰂟※󰄆※󰃏☯wdsk☯ǎi※yáo※yóu※〕
㑹	〔※󰄤※󰂶※󰃙※󰃊☯wgmj☯huì※〕
㑺	〔※󰄥※󰄥※󰁷※󰂖☯wwyb☯jùn※〕
㑻	〔※󰄥※󰃰※󰃢※󰃘☯wpnm☯mà※〕
㑼	〔※󰄥※󰃐※󰄐※󰃏☯wltk☯※〕
㑽	〔※󰄥※󰃆※󰃱※󰂮☯wipf☯táng※〕
㑾	〔※󰄥※󰁝※󰄳※󰀝☯wqyg☯xiáo※yáo※〕
㑿	〔※󰄥※󰄞※󰃊※󰄅☯wvjs☯zhào※〕
㒀	〔※󰄥※󰄶※󰄒※󰂟☯wyud☯zhǎ※〕
㒁	〔※󰄥※󰃒※󰂮※󰂱☯wlff☯yǔ※yùn※〕
㒂	〔※󰄥※󰄖※󰂮※󰃊☯wafj☯kù※zhuó※〕
㒃	〔※󰄥※󰀁※󰂭※󰄼☯wafy☯èr※〕
㒄	〔※󰄥※󰁝※󰂣※󰃨☯wqdo☯nàng※nèn※rǎn※〕
㒅	〔※󰄥※󰄶※󰃹※󰀔☯wyqe☯qǐ※〕
㒆	〔※󰄥※󰄤※󰂶※󰃥☯wwgn☯chì※kè※xì※xiào※yàn※〕
㒇	〔※󰄥※󰁿※󰂶※󰃨☯wtgo☯mù※wǔ※〕
㒈	〔※󰄥※󰃦※󰂐※󰄏☯wnbt☯hàn※〕
㒉	〔※󰄥※󰃆※󰃱※󰄅☯wips☯tǎng※〕
㒊	〔※󰄥※󰄠※󰄼※󰂾☯wvyh☯sè※〕
㒋	〔※󰄥※󰀎※󰄦※󰄀☯wdwr☯※〕
㒌	〔※󰄥※󰃩※󰃩※󰄨☯woow☯qióng※〕
㒍	〔※󰄥※󰂙※󰂙※󰃅☯wcci☯léi※lěi※〕
㒎	〔※󰄥※󰄋※󰂝※󰂜☯wtdd☯sǎ※sà※tàn※〕
㒏	〔※󰄥※󰃰※󰀀※󰁦☯wpau☯※〕
㒐	〔※󰄥※󰄍※󰃷※󰃊☯wtqj☯xùn※〕
㒑	〔※󰄥※󰂋※󰃁※󰁷☯waiy☯huì※kuǐ※〕
㒒	〔※󰄥※󰃬※󰄕※󰂵☯wouf☯pú※〕
㒓	〔※󰄥※󰂮※󰄕※󰃮☯wfup☯tà※〕
㒔	〔※󰄥※󰃔※󰃷※󰃍☯wlqj☯shǔ※〕
㒕	〔※󰄥※󰄶※󰁲※󰁷☯wyxy☯※〕
㒖	〔※󰄥※󰄖※󰃊※󰄼☯wajy☯ǒu※〕
㒗	〔※󰄥※󰄖※󰂭※󰂮☯waff☯tái※〕
㒘	〔※󰄥※󰂋※󰂺※󰄓☯wahu☯※〕
㒙	〔※󰄥※󰄫※󰃽※󰂺☯wxrh☯mián※〕
㒚	〔※󰄥※󰂦※󰂆※󰃢☯wean☯wěn※〕
㒛	〔※󰄥※󰃥※󰄥※󰁷☯wnwy☯diào※〕
㒜	〔※󰄥※󰀗※󰂶※󰄦☯wegw☯yú※yǔ※〕
㒝	〔※󰄥※󰄖※󰃔※󰄤☯walw☯miè※wà※〕
㒞	〔※󰄥※󰃘※󰄥※󰂁☯wmwn☯jùn※kě※〕
㒟	〔※󰄥※󰄶※󰀋※󰀔☯wyce☯niǎo※〕
㒠	〔※󰄥※󰀥※󰃹※󰂶☯whqg☯xiè※〕
㒡	〔※󰄥※󰂦※󰁿※󰃅☯weti☯yóu※〕
㒢	〔※󰄥※󰄤※󰂶※󰄖☯wwga☯※〕
㒣	〔※󰄥※󰃫※󰄥※󰃢☯wown☯※〕
㒤	〔※󰄥※󰂐※󰂐※󰂐☯wbbb☯shè※chè※〕
㒥	〔※󰄥※󰃘※󰂜※󰄕☯wmdu☯※〕
㒦	〔※󰄥※󰃐※󰃐※󰂮☯wllf☯lěi※〕
㒧	〔※󰄥※󰄶※󰄄※󰁷☯wyry☯lì※〕
㒨	〔※󰄥※󰀗※󰄋※󰃠☯wetn☯※〕
㒩	〔※󰄥※󰄰※󰀓※󰃍☯wxej☯luǒ※〕
㒪	〔※󰄤※󰂋※󰂺※󰀓☯wahe☯※〕
㒫	〔※󰂶※󰂺※󰂭※󰃺☯ghfq☯jì※〕
㒬	〔※󰂭※󰃺※󰂷※󰀌☯fqgd☯※〕
㒭	〔※󰃏※󰃺※󰃏※󰃺☯kqkq☯※〕
㒮	〔※󰂭※󰃺※󰂶※󰀓☯fqge☯※〕
㒯	〔※󰃆※󰂶※󰃺※󰀟☯igqg☯※〕
㒰	〔※󰄋※󰂃※󰂆※󰀘☯tyaf☯quán※〕
㒱	〔※󰄋※󰂃※󰃹※󰁧☯tyqu☯mèng※〕
㒲	〔※󰄋※󰂃※󰃊※󰀘☯tyjf☯cái※〕
㒳	〔※󰃜※󰂺※󰄋※󰄼☯mhty☯liǎng※〕
㒴	〔※󰄋※󰂃※󰂔※󰃘☯tybm☯gǔ※〕
㒵	〔※󰃽※󰄦※󰁧※☯rwu☯mào※〕
㒶	〔※󰄦※󰃽※󰀘※☯wrf☯※〕
㒷	〔※󰀿※󰄤※󰂶※󰄦☯mwgw☯guǎ※xìng※xǔ※〕
㒸	〔※󰄕※󰀓※󰁧※☯ueu☯suì※xuán※〕
㒹	〔※󰂱※󰀣※󰄦※󰄦☯fhww☯diān※〕
㒺	〔※󰃜※󰄕※󰄤※󰄃☯muwn☯※〕
㒻	〔※󰀰※󰂼※󰃺※󰀅☯jhqb☯mào※〕
㒼	〔※󰂊※󰃜※󰂺※󰄼☯amhy☯mán※〕
㒽	〔※󰀰※󰄒※󰂹※󰂑☯jugb☯※〕
㒾	〔※󰀰※󰄸※󰁿※󰂓☯jytb☯shì※〕
㒿	〔※󰀰※󰄶※󰄄※󰁷☯jyry☯lí※〕
㓀	〔※󰃱※󰂿※󰁧※☯phu☯※〕
㓁	〔※󰃱※󰄦※󰁧※☯pwu☯wǎng※〕
㓂	〔※󰃱※󰂭※󰃺※󰄟☯pfqv☯kòu※〕
㓃	〔※󰃱※󰄳※󰄋※󰂌☯pyta☯chuí※dù※zhà※〕
㓄	〔※󰂙※󰂙※󰂙※󰁜☯cccq☯zhèn※〕
㓅	〔※󰄑※󰄆※󰀢※☯ush☯※〕
㓆	〔※󰄑※󰄤※󰄮※󰁀☯uwxn☯※〕
㓇	〔※󰄑※󰄋※󰂝※󰁶☯utdy☯※〕
㓈	〔※󰄑※󰂠※󰀝※☯udg☯bèi※bìng※fèi※yè※〕
㓉	〔※󰄑※󰄋※󰂟※󰀝☯utdg☯huàn※huó※huò※〕
㓊	〔※󰄑※󰃜※󰂶※󰃏☯umgk☯dòng※〕
㓋	〔※󰄑※󰁺※󰄦※󰁶☯uawy☯gòng※〕
㓌	〔※󰄑※󰄤※󰂷※󰀝☯uwgg☯※〕
㓍	〔※󰄑※󰄶※󰂙※󰃺☯uycq☯※〕
㓎	〔※󰄑※󰄢※󰃱※󰂘☯uvpc☯qīn※qǐn※qìn※〕
㓏	〔※󰄑※󰃜※󰄦※󰃏☯umwk☯jiǒng※〕
㓐	〔※󰄑※󰂮※󰄦※󰂮☯ufwf☯lù※〕
㓑	〔※󰄑※󰂮※󰄕※󰂱☯ufuf☯xìng※〕
㓒	〔※󰄑※󰂌※󰄤※󰃤☯uawn☯※〕
㓓	〔※󰄑※󰂱※󰃜※󰂱☯ufmf☯nán※〕
㓔	〔※󰄑※󰄋※󰀽※󰂳☯utmf☯xiè※〕
㓕	〔※󰄑※󰂤※󰂶※󰃩☯udgo☯※〕
㓖	〔※󰄑※󰃊※󰄖※󰀟☯ujag☯bì※bié※〕
㓗	〔※󰄑※󰂜※󰂺※󰃅☯udhi☯jié※qǐ※〕
㓘	〔※󰁰※󰂶※󰃹※󰄼☯wgqy☯sù※〕
㓙	〔※󰄷※󰂔※󰀵※☯ybk☯※〕
㓚	〔※󰂆※󰃉※󰀢※☯ajh☯※〕
㓛	〔※󰂆※󰄠※󰁥※☯avt☯※〕
㓜	〔※󰄩※󰄠※󰁥※☯xvt☯yòu※〕
㓝	〔※󰂭※󰀯※󰃉※󰀢☯fjjh☯xíng※〕
㓞	〔※󰂜※󰂺※󰄠※󰁥☯dhvt☯qì※qià※yáo※〕
㓟	〔※󰂗※󰃉※󰀢※☯bjh☯pí※〕
㓠	〔※󰀥※󰃏※󰃉※󰀢☯hkjh☯diàn※〕
㓡	〔※󰁿※󰂱※󰂔※󰃉☯tfbj☯fǔ※fǒu※〕
㓢	〔※󰄐※󰃏※󰃉※󰀢☯tkjh☯luò※〕
㓣	〔※󰄤※󰂶※󰃏※󰃉☯wgkj☯qià※〕
㓤	〔※󰂯※󰃏※󰃉※󰀢☯fkjh☯jié※qià※〕
㓥	〔※󰃆※󰄢※󰃉※󰀢☯ivjh☯※〕
㓦	〔※󰂢※󰃊※󰃉※󰀢☯djjh☯bāi※〕
㓧	〔※󰄤※󰄼※󰃦※󰃉☯wynj☯yǎn※〕
㓨	〔※󰂝※󰄤※󰄤※󰃉☯dwwj☯cí※cì※〕
㓩	〔※󰃸※󰂨※󰃉※󰀢☯qejh☯※〕
㓪	〔※󰄼※󰁮※󰄠※󰁥☯yvvt☯lǎng※〕
㓫	〔※󰂝※󰂶※󰂉※󰃉☯dgaj☯※〕
㓬	〔※󰄒※󰂹※󰄠※󰃉☯ugvj☯※〕
㓭	〔※󰃊※󰃷※󰄤※󰃉☯jqwj☯hé※〕
㓮	〔※󰀼※󰂮※󰃏※󰃉☯mfkj☯※〕
㓯	〔※󰄞※󰃐※󰃉※󰀢☯vljh☯lí※〕
㓰	〔※󰂶※󰃙※󰂔※󰃉☯gmbj☯huà※〕
㓱	〔※󰄤※󰂶※󰂧※󰃉☯wgej☯tóu※〕
㓲	〔※󰄼※󰃡※󰃜※󰃉☯ynmj☯piàn※〕
㓳	〔※󰃊※󰂶※󰁾※󰃉☯jghj☯※〕
㓴	〔※󰂢※󰃜※󰀭※󰃉☯dmjj☯jùn※ruǎn※〕
㓵	〔※󰃏※󰃏※󰂭※󰃉☯kkfj☯è※〕
㓶	〔※󰂜※󰂺※󰄠※󰃉☯dhvj☯qiè※〕
㓷	〔※󰄋※󰂼※󰄅※󰃉☯thsj☯yì※〕
㓸	〔※󰂋※󰁃※󰀚※󰃉☯anfj☯jué※zhuó※〕
㓹	〔※󰂡※󰃩※󰃩※󰃉☯dooj☯ruì※〕
㓺	〔※󰃀※󰄷※󰃉※󰀢☯hyjh☯jiàn※〕
㓻	〔※󰃔※󰂶※󰂾※󰃉☯lghj☯※〕
㓼	〔※󰄅※󰄤※󰃃※󰃉☯swij☯chì※chòng※〕
㓽	〔※󰃘※󰃰※󰂭※󰃉☯mpfj☯chóng※〕
㓾	〔※󰃡※󰃃※󰄋※󰃉☯nitj☯chí※〕
㓿	〔※󰄌※󰄤※󰃃※󰃉☯twij☯※〕
㔀	〔※󰃊※󰁸※󰃅※󰃉☯jyij☯lüè※qíng※〕
㔁	〔※󰄧※󰂶※󰃏※󰃉☯wgkj☯※〕
㔂	〔※󰃪※󰃹※󰂅※󰃉☯oqgj☯lín※〕
㔃	〔※󰄫※󰃸※󰂚※󰄠☯xqcv☯jué※pì※〕
㔄	〔※󰄈※󰃪※󰃉※󰀢☯sojh☯sù※〕
㔅	〔※󰁬※󰂱※󰀲※󰃉☯vfjj☯xiào※〕
㔆	〔※󰀄※󰁜※󰀄※󰃉☯aqaj☯zàn※〕
㔇	〔※󰄧※󰄬※󰄨※󰃉☯wxwj☯pō※〕
㔈	〔※󰄖※󰂺※󰂜※󰃉☯ahdj☯※〕
㔉	〔※󰃡※󰄋※󰃏※󰃉☯ntkj☯zhú※〕
㔊	〔※󰄶※󰃒※󰃏※󰃉☯ylkj☯dǎn※〕
㔋	〔※󰂋※󰂺※󰁃※󰃉☯ahnj☯jiàn※lán※làn※〕
㔌	〔※󰂐※󰂘※󰃈※󰃉☯bcij☯zhòu※〕
㔍	〔※󰄍※󰂼※󰂉※󰃉☯thaj☯duǒ※zhá※〕
㔎	〔※󰂔※󰄤※󰃧※󰄠☯bwnv☯xiè※yì※〕
㔏	〔※󰂠※󰂠※󰂠※󰃉☯dddj☯lì※〕
㔐	〔※󰄍※󰂶※󰂺※󰃉☯tghj☯※〕
㔑	〔※󰄖※󰄋※󰃧※󰄠☯atnv☯chì※dào※qì※shuì※〕
㔒	〔※󰃘※󰄥※󰁷※󰃉☯mwyj☯xí※〕
㔓	〔※󰄋※󰂱※󰂫※󰁥☯tfet☯jiǎn※xiàn※〕
㔔	〔※󰂫※󰃏※󰃏※󰀘☯ekkf☯※〕
㔕	〔※󰄂※󰂫※󰁥※☯ret☯jí※yì※〕
㔖	〔※󰂫※󰃏※󰃦※󰀅☯eknb☯jiā※〕
㔗	〔※󰄬※󰀯※󰂫※󰁥☯xjet☯fèi※〕
㔘	〔※󰂔※󰃘※󰂫※󰁥☯bmet☯chù※〕
㔙	〔※󰄕※󰂉※󰂫※󰁥☯uaet☯bǎng※péng※〕
㔚	〔※󰄋※󰂟※󰂫※󰁥☯tdet☯kǒu※〕
㔛	〔※󰂯※󰃏※󰂫※󰁣☯fker☯jié※〕
㔜	〔※󰂦※󰂎※󰂫※󰁥☯ebet☯bá※bó※〕
㔝	〔※󰂶※󰃜※󰂺※󰂫☯gmhe☯liǎng※〕
㔞	〔※󰄋※󰂱※󰁩※󰂫☯tfue☯kuài※kuàng※wàng※〕
㔟	〔※󰄋※󰁽※󰄡※󰂫☯tgve☯※〕
㔠	〔※󰃊※󰃷※󰄤※󰂫☯jqwe☯hé※jiá※〕
㔡	〔※󰄋※󰃒※󰄄※󰂫☯tlre☯※〕
㔢	〔※󰄫※󰃸※󰂚※󰂫☯xqce☯jué※〕
㔣	〔※󰃐※󰃐※󰃐※󰂫☯llle☯léi※lèi※〕
㔤	〔※󰃰※󰄋※󰃪※󰂫☯ptoe☯shěn※〕
㔥	〔※󰃔※󰂙※󰂧※󰂫☯lcee☯pí※〕
㔦	〔※󰄒※󰂷※󰁱※󰂫☯ugwe☯yǎng※〕
㔧	〔※󰃀※󰃐※󰃕※󰂫☯hlle☯xuè※〕
㔨	〔※󰃷※󰁩※󰄮※󰂧☯quxe☯bèi※〕
㔩	〔※󰃷※󰂮※󰂙※󰃕☯qfcl☯è※〕
㔪	〔※󰃷※󰀥※󰃒※󰁘☯qhlo☯lǔ※〕
㔫	〔※󰁼※󰄮※󰁫※☯dxv☯※〕
㔬	〔※󰄮※󰃌※󰀬※☯xjj☯※〕
㔭	〔※󰁴※󰃊※󰂶※󰁾☯xjgh☯chè※chí※yí※〕
㔮	〔※󰂊※󰃏※󰂹※󰄮☯akgx☯nuó※〕
㔯	〔※󰂋※󰄨※󰃏※󰀌☯awkd☯suǎn※xuán※〕
㔰	〔※󰂋※󰃹※󰂿※󰀦☯aqhi☯héng※〕
㔱	〔※󰂋※󰀗※󰄤※󰀦☯aewi☯yǔ※〕
㔲	〔※󰂋※󰁱※󰁫※󰄡☯awvv☯※〕
㔳	〔※󰂋※󰁱※󰁫※󰄨☯awvw☯guǐ※gùn※huán※jué※〕
㔴	〔※󰂋※󰃐※󰁺※󰄦☯alaw☯yì※〕
㔵	〔※󰂋※󰃠※󰃠※󰄦☯annw☯xiàn※xuǎn※〕
㔶	〔※󰂋※󰄓※󰃌※󰃛☯aujm☯gòng※〕
㔷	〔※󰂋※󰂶※󰃜※󰄤☯agmw☯lòu※〕
㔸	〔※󰂋※󰃼※󰃀※󰄨☯arhw☯※〕
㔹	〔※󰂱※󰂫※󰁥※☯fet☯lè※〕
㔺	〔※󰂱※󰂌※󰂱※󰀬☯fafj☯shì※〕
㔻	〔※󰂢※󰂿※󰂱※󰀬☯dhfj☯pī※〕
㔼	〔※󰃿※󰄥※󰁷※󰂱☯rwyf☯sǔn※〕
㔽	〔※󰀥※󰃒※󰃏※󰀘☯hlkf☯yào※yǒu※〕
㔾	〔※󰂑※󰂁※󰄻※☯bnn☯jié※〕
㔿	〔※󰂶※󰁐※󰂺※󰀵☯gnhk☯zòu※〕
㕀	〔※󰃙※󰂑※󰀅※☯mbb☯※〕
㕁	〔※󰄄※󰁼※󰂙※󰂕☯rdcb☯què※〕
㕂	〔※󰂡※󰄤※󰄼※󰃦☯dwyn☯yín※〕
㕃	〔※󰂡※󰂶※󰂉※󰀵☯dgak☯※〕
㕄	〔※󰂡※󰂶※󰄩※󰀦☯dgxi☯zhì※〕
㕅	〔※󰂡※󰃑※󰀵※☯dlk☯jiǎ※〕
㕆	〔※󰂡※󰂟※󰀌※☯ddd☯hù※〕
㕇	〔※󰂡※󰄓※󰀌※☯dud☯lá※lā※〕
㕈	〔※󰂡※󰄶※󰀔※󰀦☯dyei☯hòu※yǐ※〕
㕉	〔※󰂡※󰄤※󰂶※󰃏☯dwgk☯kè※〕
㕊	〔※󰂡※󰄊※󰀦※☯dsi☯fū※〕
㕋	〔※󰂡※󰃴※󰀌※☯dqd☯jìng※qín※〕
㕌	〔※󰂡※󰃊※󰂶※󰂳☯djgf☯ài※〕
㕍	〔※󰂡※󰄥※󰁷※󰀌☯dwyd☯※〕
㕎	〔※󰂡※󰂮※󰂙※󰃕☯dfcl☯è※kè※kǔn※〕
㕏	〔※󰂡※󰂶※󰃏※󰂱☯dgkf☯chú※〕
